subsite_store,shipment_state,total,currency,bill_city,bill_zipcode,bill_country_iso_name,quantity,completed_year,completed_month,completed_day
Klippkungen,shipped,513.0,SEK,Kalmar,392 38,SE,1,2020,2,24
Klippkungen,shipped,267.0,SEK,Uddevalla,451 92,SE,1,2020,3,3
Klippkungen,shipped,2309.0,SEK,Svanesund,472 32,SE,1,2020,2,25
Klippkungen,shipped,237.0,SEK,Sollefteå,881 31,SE,1,2020,2,28
Klippkungen,shipped,666.0,SEK,Tun,530 30,SE,1,2020,2,26
Klippkungen,shipped,574.0,SEK,Karlstad,656 34,SE,1,2020,2,27
Klippkungen,shipped,574.0,SEK,Karlstad,656 34,SE,1,2020,2,27
Klippkungen,shipped,1181.0,SEK,Tving,373 39,SE,1,2020,3,3
Klippkungen,shipped,277.0,SEK,Alby,841 44,SE,1,2020,2,27
Klippkungen,shipped,1084.0,SEK,Hässelby,165 74,SE,1,2020,2,28
Klippkungen,shipped,307.0,SEK,Trosa,619 92,SE,1,2020,3,3
Klippkungen,shipped,307.0,SEK,Stenungsund,444 47,SE,1,2020,2,29
Klippkungen,shipped,297.0,SEK,Mariestad,542 32,SE,1,2020,2,29
Klippkungen,shipped,341.8,SEK,Göteborg,417 13,SE,1,2020,3,1
Klippkungen,shipped,438.0,SEK,Örby,511 92,SE,1,2020,3,2
Klippkungen,shipped,516.0,SEK,Östra Ryd,614 96,SE,1,2020,3,2
Klippkungen,shipped,297.0,SEK,Göteborg,411 30,SE,1,2020,3,3
Klippkungen,shipped,993.45,SEK,Ronneby,372 73,SE,1,2020,3,3
Klippkungen,shipped,267.0,SEK,Sandviken,811 30,SE,1,2020,3,3
Klippkungen,shipped,505.0,SEK,Värmdö,139 56,SE,1,2020,3,3
Klippkungen,shipped,587.5,SEK,Tumba,147 52,SE,1,2020,3,3
Klippkungen,shipped,685.0,SEK,Säffle,661 33,SE,1,2020,3,3
Klippkungen,shipped,730.0,SEK,Älvängen,446 32,SE,1,2020,3,4
Klippkungen,shipped,419.0,SEK,Ullared,311 61,SE,1,2020,3,5
Klippkungen,shipped,683.0,SEK,Nättraby,373 32,SE,1,2020,3,5
Klippkungen,shipped,1036.0,SEK,Karlskoga,691 38,SE,1,2020,4,5
Klippkungen,shipped,685.0,SEK,Filipstad,682 30,SE,1,2020,3,6
Klippkungen,shipped,564.0,SEK,Åstorp,265 37,SE,1,2020,3,6
Klippkungen,shipped,327.0,SEK,Tomelilla,273 30,SE,1,2020,3,7
Klippkungen,shipped,1439.0,SEK,Orsa,794 92,SE,1,2020,3,19
Klippkungen,shipped,1439.0,SEK,Orsa,794 92,SE,1,2020,3,19
Klippkungen,shipped,1439.0,SEK,Orsa,794 92,SE,2,2020,3,19
